excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
2.33	-12.5	768.92	8892.98	-177.14	-0.11	0.33	0.14	swd	6.0
3.0	8.0	2133.32	8528.26	266.1	0.38	0.64	0.14	Tirek	1.0
11.0	36.99	5876.11	11190.41	1228.54	1.06	1.13	0.14	Scucchi	1.0
2.0	22.99	4056.7	9657.9	1073.37	1.07	0.8	0.14	GZ.DECK	1.0
4.0	3.0	767.75	8263.35	307.64	1.58	0.59	0.14	Punkà	1.0
1.0	4.0	106.97	3770.79	-251.65	-0.15	0.08	0.14	^1VK ^7PIRATA!	1.0
1.25	-24.99	-560.57	7655.29	-417.55	-0.44	0.21	0.14	buff0x	4.0
0.0	5.0	480.35	5810.64	-283.47	-0.69	0.24	0.13	STN	2.0
2.7	-15.66	175.79	8388.97	-165.87	-0.05	0.35	0.13	Valunya	263.0
4.5	0.0	1758.44	8827.17	-97.51	-0.17	0.33	0.12	Shinobbi	2.0
1.0	-19.99	-1642.47	2504.2	-800.49	-1.11	-0.24	0.12	infra	1.0
3.0	-8.5	950.2	10174.48	-0.88	0.32	0.53	0.12	oddi	4.0
4.0	-11.63	2352.43	11052.63	45.8	0.05	0.69	0.11	zygnusX	11.0
2.56	-8.13	942.47	8408.0	-79.53	-0.15	0.45	0.11	sinc	9.0
3.58	4.56	1819.33	8420.13	22.61	-0.15	0.42	0.11	^3CRYING LAUGHING ^1TOMATO^7	1201.0
1.6	-20.19	-936.5	6511.51	-428.36	-0.51	-0.02	0.1	TARS	5.0
3.33	-14.25	881.68	9111.36	-100.64	-0.05	0.46	0.09	^7dib^1staah^7	49.0
2.64	-13.85	-281.27	7696.55	-267.69	-0.22	0.2	0.09	Chet0	1147.0
3.5	-12.25	617.05	8515.27	-302.35	-0.44	0.3	0.09	Sev1	4.0
2.55	4.22	899.27	7209.69	20.71	0.05	0.34	0.08	oskid	9.0
5.5	31.49	2384.73	6647.87	210.64	-0.13	0.5	0.08	pavel	2.0
1.5	-14.0	1106.15	9691.89	-219.33	-0.34	0.32	0.08	Nimrod	2.0
5.44	16.09	4118.66	10769.08	388.93	0.1	0.77	0.08	mirror🏴‍☠	43.0
2.9	-6.3	838.73	7679.54	-171.12	-0.33	0.21	0.08	tsk	10.0
2.11	-18.05	-643.64	6969.3	-355.96	-0.4	0.09	0.08	like_u	719.0
2.32	-6.73	-447.25	6733.15	-313.47	-0.34	0.24	0.08	Dobez	278.0
4.95	0.94	2799.71	10299.17	137.25	-0.08	0.46	0.08	aAa*RaOuL	39.0
1.0	7.0	-399.87	5043.38	-519.5	-0.86	0.02	0.08	Prophy	1.0
4.0	2.12	1266.22	8551.38	-47.05	-0.07	0.46	0.07	zoza	16.0
3.04	-4.12	1424.93	8254.93	-110.46	-0.31	0.31	0.07	zhen	702.0
3.5	-19.49	-755.26	7578.07	-490.15	-0.59	0.31	0.06	real_grubby	2.0
5.0	11.59	2057.84	9220.18	76.28	-0.02	0.62	0.06	^2unmd^7	5.0
1.0	-13.0	-816.24	5625.69	-441.96	-0.57	0.02	0.06	Dime	2.0
2.65	-13.83	227.08	7947.84	-228.3	-0.19	0.32	0.06	spfx	290.0
3.38	29.62	3580.28	8183.26	740.02	0.23	0.64	0.06	twitch.tv/xiphosnl	16.0
1.46	-12.61	-18.69	7087.88	-352.27	-0.41	0.22	0.06	luis	13.0
3.94	-8.97	714.59	8649.38	-118.32	-0.04	0.47	0.05	aesick	33.0
2.5	-18.59	-672.93	8667.29	-342.73	-0.34	0.34	0.04	^5[^7sam^5.^7s^5p^7enzeR^5]^7	12.0
3.0	-11.5	833.73	9750.87	-215.1	-0.25	0.37	0.03	bzh	2.0
0.33	-28.35	-3906.88	3051.07	-773.16	-0.79	-0.15	0.02	Skatos	3.0
1.5	-4.75	334.64	7648.55	-275.12	-0.38	0.38	0.02	??OléDéy	4.0
2.33	19.33	2081.33	7589.56	61.09	-0.28	0.43	0.02	norm swex	3.0
2.5	18.49	1605.98	5868.62	-31.59	-0.38	0.16	0.01	Rivalls	2.0
2.27	-26.14	-1124.32	7380.27	-381.55	-0.29	0.04	0.01	Raven	48.0
0.5	-25.99	-1876.4	5349.78	-651.46	-0.94	-0.18	0.01	WadaWada	2.0
2.5	-10.75	-298.15	6920.32	-281.95	-0.29	0.11	0.01	Mattias	115.0
1.95	-12.81	-1019.21	6669.28	-342.67	-0.24	0.25	0.0	Havar	43.0
2.25	-28.94	-1608.77	7361.62	-423.7	-0.33	0.16	0.0	^1l^2u^3k^4a^5_^7	1235.0
3.43	4.66	1522.6	8570.49	7.75	-0.06	0.45	0.0	arronax	21.0
0.34	-4.3	-721.86	3939.67	-589.86	-0.9	-0.06	-0.01	Krono3000	3.0
1.5	-15.5	-63.98	6833.81	-244.91	-0.12	0.18	-0.01	Kilraker	2.0
2.5	-14.0	514.33	8556.25	-165.33	-0.1	0.55	-0.01	zenys	2.0
2.0	-3.67	377.21	5902.77	-317.88	-0.54	0.11	-0.02	Walker #0	3.0
2.38	-21.39	-1005.27	7451.41	-329.22	-0.2	0.22	-0.02	^1VK^7	418.0
3.0	-14.0	1526.01	9451.97	-241.5	-0.45	0.41	-0.02	FL1NF	2.0
2.0	-6.0	-179.28	5233.32	-516.76	-0.76	-0.03	-0.02	^3Paw^1U^3loN^7	3.0
2.92	-3.44	890.55	8028.3	-202.65	-0.38	0.21	-0.02	tough maf	90.0
4.11	-4.84	1305.04	9565.2	-52.56	-0.02	0.57	-0.03	TameR_	26.0
1.6	0.4	1267.99	8078.41	17.84	-0.09	0.37	-0.03	zigg	5.0
2.66	-10.4	226.95	7752.92	-265.47	-0.31	0.22	-0.04	p5ych^10^7	279.0
2.67	-26.67	-937.03	7872.13	-458.95	-0.61	0.1	-0.04	bandit	6.0
2.12	-29.94	-1625.83	7082.6	-455.92	-0.33	0.09	-0.05	Parkas	186.0
3.5	-12.0	-11.55	7260.54	-483.18	-0.79	0.05	-0.07	Corr	2.0
1.5	-31.49	-2803.6	4233.64	-734.78	-1.0	-0.24	-0.07	King_Karl	2.0
0.5	-12.5	-1519.51	4545.04	-629.01	-0.9	-0.21	-0.07	mushis	2.0
3.5	-29.49	-1375.06	7167.2	-480.15	-0.44	0.18	-0.08	power3	2.0
5.0	51.98	4299.62	10287.7	994.7	1.01	1.04	-0.08	SPART1E	1.0
