steam_id	aWin	SE	games	alias
76561197996816389	-0.18	0.23	1.0	polterizer
76561198053539009	-0.18	0.23	1.0	Toa
76561198056323565	-0.18	0.23	1.0	ovEr
76561198178287489	-0.18	0.23	1.0	Kentios
76561198186137302	-0.19	0.3	69.0	Respa
76561199022987302	-0.19	2.77	2.0	flipper
76561198359514955	-0.2	0.4	36.0	^2m^4l^5s^3k^7
76561198260204587	-0.2	1.46	3.0	leave myname unspoken
76561198257693803	-0.2	2.38	1.0	::MiA::
76561198205703741	-0.2	1.67	3.0	oXI
76561198046437430	-0.21	0.7	12.0	corvu
76561198116670913	-0.22	3.45	1.0	RedSpark
76561197981837786	-0.22	2.51	1.0	meskalin
76561198090066394	-0.22	0.27	88.0	-ffa-brucelee
76561198257405860	-0.22	2.36	1.0	^6 53RZJ^70^6!^7
76561198284683846	-0.23	2.37	1.0	ne_raketa
76561197981931066	-0.24	2.36	1.0	exixt
76561198216996623	-0.24	1.21	4.0	edniM
76561197961198009	-0.24	2.37	1.0	NicholaisoN
76561198072334180	-0.24	2.37	1.0	Seri
76561198171861028	-0.25	2.36	1.0	gainon
76561198304843955	-0.25	2.78	1.0	pr!x`
76561198030173590	-0.26	1.18	4.0	bias
76561198100230088	-0.26	2.36	1.0	Shnookes
76561198909195578	-0.26	2.37	1.0	zacharius_zipfelmann
76561198136633741	-0.27	0.85	8.0	way2foolish
76561198004809583	-0.27	0.29	73.0	^1¡ ^7Ɽαǥ℮
76561197985324611	-0.27	2.4	1.0	Daïkiry
76561198011835185	-0.27	2.57	1.0	ntE
76561197968801530	-0.27	1.8	1.0	acrus
76561197965374315	-0.27	0.09	2126.0	^6kai^7 Vincent the ^3Beast^7
76561198242191368	-0.27	0.24	5.0	JFK
76561198083397376	-0.27	0.24	5.0	^1♋ ^2bpm^7
76561199009353824	-0.28	3.06	1.0	Xhipper
76561198277144867	-0.28	1.8	1.0	SouJirO
76561198256500351	-0.28	0.28	79.0	^2alehightor^7
76561198131349771	-0.29	1.38	3.0	agro*style
76561198074128985	-0.29	2.41	1.0	WaVe
76561197983260772	-0.29	2.36	1.0	ipx
76561198013196737	-0.29	0.63	16.0	Photon
76561198113074125	-0.3	2.38	1.0	^6kyzeR^7
76561198212338933	-0.3	2.53	1.0	buddy™
76561198020930676	-0.3	2.36	1.0	garbol
76561198260599288	-0.3	0.69	12.0	eugene
76561198257390273	-0.31	2.39	1.0	Kishke
76561199094740851	-0.31	2.37	1.0	i7
76561198029470238	-0.32	2.46	1.0	^7zhi^4R^7
76561198075986697	-0.32	0.48	25.0	vix
76561197963320240	-0.32	2.39	1.0	^5|^7vesp
76561198150361379	-0.32	0.89	8.0	^1oMg ^7LunatiC
76561198023579220	-0.32	1.19	1.0	ZozoLaBombe
76561198088617712	-0.33	1.47	3.0	dobromato
76561198049908474	-0.33	0.18	215.0	cB Duffi
76561197973603369	-0.34	0.24	110.0	BaMoFu
76561198336074607	-0.34	0.15	386.0	^3AC/DC ^7Charv
76561198077247071	-0.34	2.37	1.0	Ph1
76561198020265889	-0.35	2.4	1.0	Butter Blood Vodoo
76561198257366499	-0.35	0.29	77.0	^48PLAY^7 n^4e^1x^7
76561198837314284	-0.35	0.73	12.0	^5faye   ●^7
76561198054960537	-0.35	2.36	1.0	ChessClub ♜ Neyron
76561198141487588	-0.35	3.35	1.0	Gibzon
76561198071516713	-0.35	2.36	1.0	paypej
76561198338067832	-0.36	0.17	272.0	DEFENDER
76561198164482709	-0.36	0.63	15.0	Ťix
76561198005503122	-0.36	2.39	1.0	FracKture
76561198932266774	-0.37	2.37	1.0	scandal
76561197985659232	-0.38	1.14	5.0	^4matr^21^4x.^7
76561197960518607	-0.38	2.36	1.0	theblackdahliamurder
76561197998005821	-0.38	1.07	5.0	Terrutas
76561197989123627	-0.38	3.4	1.0	FrosT
76561198069886353	-0.39	2.37	1.0	fæsk
76561198032564011	-0.39	1.48	3.0	zoot
76561198218623992	-0.39	0.79	9.0	Xarthez
76561197977981685	-0.39	1.8	2.0	SmOkZz
76561198187607649	-0.4	2.36	1.0	EAG37
76561197981819837	-0.4	2.36	1.0	Norbert Hückeswagen
76561198256969692	-0.4	0.12	805.0	^710^1elo^7guy ^1SOMBRES^3PING^7
76561198257843565	-0.41	1.19	4.0	hamzah
76561197968656182	-0.41	2.36	1.0	Drago
76561197992715544	-0.42	2.4	1.0	Nautilus
76561198055493263	-0.42	1.73	2.0	TUBORG_
76561198361055342	-0.42	1.97	2.0	KTNM
76561198289487513	-0.42	1.02	6.0	dzouKy
76561198011466639	-0.42	2.37	1.0	fo^1L^7n
76561197986351885	-0.43	2.52	1.0	Prometheus
76561198451665554	-0.43	2.35	1.0	Letoff
76561197964204070	-0.43	1.69	2.0	r3d
76561198071569749	-0.44	0.83	9.0	sovak
76561198180690890	-0.44	2.38	1.0	tron
76561198059315204	-0.44	2.36	1.0	ur mom
76561197996713902	-0.44	0.32	63.0	^1Svemirko^7
76561198170811645	-0.44	1.18	1.0	slain3
76561198035671947	-0.45	0.24	121.0	GashaSrey
76561197975827573	-0.45	1.75	2.0	Anat
76561198058262913	-0.46	0.72	13.0	Vuuda
76561198166316166	-0.46	0.21	161.0	Rade
