steam_id	aWin	SE	games	alias
76561198233595132	-0.08	1.85	1.0	ziKo^6.^7
76561198010106923	-0.08	1.85	1.0	X^4!^7u
76561198164504646	-0.08	1.46	3.0	Walker #0
76561198361055342	-0.08	2.39	1.0	KTNM
76561198076904580	-0.08	0.53	21.0	arronax
76561197981837786	-0.08	2.5	1.0	meskalin
76561198136633741	-0.08	0.87	8.0	way2foolish
76561198237293132	-0.08	1.5	3.0	BANANMANX47
76561198079031282	-0.08	1.1	5.0	^1AA  ^7Arices
76561198053186404	-0.09	0.51	24.0	frts
76561198113970099	-0.09	1.07	5.0	Lorm
76561198338067832	-0.09	0.19	272.0	DEFENDER
76561198061566087	-0.09	1.2	4.0	^1fr^74^1nz^7
76561197981931066	-0.1	2.36	1.0	exixt
76561198909195578	-0.1	2.39	1.0	zacharius_zipfelmann
76561199094740851	-0.1	2.37	1.0	i7
76561198088925347	-0.1	2.58	1.0	luminus
76561197996713902	-0.11	0.39	42.0	^1Svemirko^7
76561198171861028	-0.11	2.36	1.0	gainon
76561198012604537	-0.11	0.68	15.0	twitch.tv/xiphosnl
76561198216996623	-0.11	1.21	4.0	edniM
76561198131349771	-0.12	1.38	3.0	agro*style
76561198013882729	-0.12	1.5	4.0	Mayh
76561198069886353	-0.12	2.37	1.0	fæsk
76561197983260772	-0.12	2.36	1.0	ipx
76561198022133177	-0.12	1.06	6.0	cityy
76561198257437671	-0.12	2.36	1.0	^^0Wood^7
76561198212338933	-0.12	2.54	1.0	buddy™
76561198029470238	-0.12	2.46	1.0	^7zhi^4R^7
76561198081744891	-0.12	0.25	102.0	Parkas
76561198020930676	-0.12	2.35	1.0	garbol
76561198170811645	-0.13	1.2	1.0	slain3
76561198959359034	-0.13	1.29	4.0	vishru
76561198932266774	-0.14	2.37	1.0	scandal
76561198155205821	-0.14	2.73	1.0	^1^^7RoMe^7
76561197963320240	-0.14	2.43	1.0	^5|^7vesp
76561198141487588	-0.14	3.36	1.0	Gibzon
76561198090066394	-0.14	2.37	1.0	-ffa-brucelee
76561197960518607	-0.14	2.36	1.0	theblackdahliamurder
76561198153828917	-0.14	2.37	1.0	bandit
76561198081117111	-0.14	0.22	136.0	evoldore
76561197964204070	-0.14	2.36	2.0	r3d
76561199022987302	-0.14	2.77	2.0	flipper
76561198054960537	-0.15	2.35	1.0	ChessClub ♜ Neyron
76561198214411141	-0.15	2.37	1.0	Destiny
76561198257403817	-0.15	2.35	1.0	cleaner_le_magnifique
76561198256500351	-0.15	0.29	79.0	^2alehightor^7
76561198271338805	-0.15	1.41	3.0	^2vahue^7
76561198089688309	-0.15	2.35	1.0	daraz69
76561197968341051	-0.15	2.35	1.0	^6KILLALOT^7
76561198360758240	-0.15	1.23	4.0	ten
76561198026872390	-0.15	0.98	6.0	Dday
76561198059315204	-0.15	2.35	1.0	ur mom
76561198827500718	-0.16	0.96	7.0	Vitur
76561198180690890	-0.16	2.37	1.0	tron
76561198031260045	-0.16	2.36	1.0	^1Donne^2Moi^3Ta^4CHATTE^7
76561198187607649	-0.16	2.35	1.0	EAG37
76561197978556104	-0.16	2.36	1.0	.BaNaNa_
76561198071516713	-0.17	2.35	1.0	paypej
76561197981819837	-0.17	2.35	1.0	Norbert Hückeswagen
76561198011466639	-0.17	2.36	1.0	fo^1L^7n
76561198027167951	-0.17	2.37	1.0	ٰ
76561198001420644	-0.17	0.3	69.0	woo
76561199033728484	-0.17	2.35	1.0	D4Rk^1FF!^7
76561198035671947	-0.17	0.25	121.0	GashaSrey
76561197993505667	-0.17	0.84	8.0	Meshhead
76561197973893045	-0.17	0.42	35.0	khan
76561197975424969	-0.18	0.69	12.0	sh@dy
76561198027215543	-0.18	2.35	1.0	^1ЯƟVƖ^7ɌUƁƖ
76561198020265889	-0.18	2.43	1.0	Butter Blood Vodoo
76561198054431396	-0.18	2.35	1.0	spid
76561198021415974	-0.18	1.43	3.0	Kisde
76561198022534637	-0.19	0.72	11.0	prodigy
76561197971969567	-0.19	0.48	26.0	TameR_
76561198075986697	-0.19	0.52	21.0	vix
76561198289487513	-0.19	1.02	6.0	dzouKy
76561198002376252	-0.19	0.49	25.0	monad
76561199001714968	-0.19	2.38	1.0	f^4oo ^7t^4o^7p^4e^7k
76561198043115609	-0.19	2.35	1.0	czang
76561198062801450	-0.19	0.67	14.0	namemane
76561197992593520	-0.19	0.6	18.0	Raven
76561198008874287	-0.19	1.18	1.0	有很多小电影一起看看
76561198077247071	-0.19	2.37	1.0	Ph1
76561198068070185	-0.19	0.26	93.0	KungFool
76561198271334046	-0.2	0.76	10.0	^7^4hav^7
76561198359514955	-0.2	0.41	36.0	^2m^4l^5s^3k^7
76561197989123627	-0.2	3.4	1.0	FrosT
76561197977981685	-0.2	1.8	2.0	SmOkZz
76561198260599288	-0.2	0.8	9.0	eugene
76561198258457836	-0.21	0.67	14.0	0oSundanceo0
76561198257366499	-0.21	2.35	1.0	^48PLAY^7 n^4e^1x^7
76561197988263579	-0.21	0.73	11.0	Regenbogenkotze
76561198022916945	-0.21	2.38	1.0	sciencepool
76561198165352013	-0.21	2.59	1.0	^3syd666^7
76561198261304663	-0.22	2.37	1.0	hurtycz
76561198026705607	-0.22	1.67	2.0	Sev1
76561198024637877	-0.23	1.66	2.0	GGSh0w
76561198256622096	-0.23	2.37	1.0	FatBear
76561198163827733	-0.24	1.79	2.0	PAINE
76561198092313801	-0.25	0.78	10.0	shakey
76561199123746085	-0.25	1.68	2.0	opt1k
76561198069518871	-0.25	1.75	2.0	vloeii
76561198007541496	-0.25	1.19	4.0	raw
76561198071569749	-0.25	0.83	9.0	sovak
76561198255020427	-0.26	0.69	12.0	Thain
76561198063443467	-0.26	0.41	39.0	mirror🏴‍☠
76561198251690480	-0.26	1.67	2.0	saDas
76561198004809583	-0.26	0.29	73.0	^1¡ ^7Ɽαǥ℮
76561198285213013	-0.27	1.19	4.0	^^0sin^2ner^7
76561198027965641	-0.27	1.4	3.0	cup1d
76561198257843565	-0.28	1.21	4.0	hamzah
76561198102771176	-0.28	1.18	4.0	Big Tasty
76561198256176051	-0.28	1.06	5.0	sombre
76561197985659232	-0.28	1.14	5.0	^4matr^21^4x.^7
76561197995862741	-0.28	1.66	2.0	sn1
76561197973603369	-0.29	0.29	76.0	BaMoFu
76561198064218291	-0.29	1.28	4.0	Spyros
76561197976530588	-0.29	1.99	2.0	cippi
